"","eu_state","code","greenhouse","co2","ch4","ch4_co2","no2","no2_co2","hfc_co2","pfc_co2","nf3_sf6_co2","co2_bio_fuel","acidifying_gasses","sox_so2","nox_so2","nh3_so2","o3_precursors","nox_nmvoc","co","co_nmvoc","ch4_nmvoc","nox","ch3","part_u2_5","part_u10","non_ch4_vol","year"
"215","Iceland","IS",345.54,278,1.26,31.42,0.06,16.73,15.79,3.49,0.12,1.17,4.39,2.43,1.45,0.51,3.48,2.53,5.78,0.64,0.02,2.07,0.27,0.08,0.12,0.3,2017
"216","Portugal","PT",371.62,291.23,2.11,52.73,0.06,18.03,9.38,0.1,0.15,36.52,1.58,0.29,0.65,0.64,1.92,1.13,0.98,0.11,0.03,0.93,0.34,0.19,0.31,0.65,2017
"217","Romania","RO",593.11,387.59,5.31,132.67,0.22,64.8,7.7,0.03,0.32,19.14,3.2,0.51,0.77,1.92,2.37,1.34,1.76,0.19,0.07,1.1,1.01,0.11,0.28,0.76,2017
"218","Serbia","RS",NA,0,0,0,0,0,0,NA,0,0,15.42,11,2.49,1.93,6.85,4.35,3.96,0.44,0,3.56,1.01,0.43,0.82,2.07,2017
"219","Sweden","SE",114.79,91.18,0.41,10.23,0.04,11.19,2,0.09,0.11,104.57,0.62,0.1,0.29,0.23,0.77,0.5,0.39,0.04,0.01,0.41,0.12,0.03,0.06,0.22,2017
"220","Slovenia","SI",411.7,336.04,1.99,49.73,0.06,18.88,6.15,0.47,0.42,20.8,1.55,0.12,0.57,0.86,1.82,0.99,2.34,0.26,0.03,0.81,0.45,0.07,0.13,0.54,2017
"221","Slovakia","SK",475.51,398.24,1.72,42.9,0.09,25.42,8.74,0.11,0.09,77.29,1.62,0.35,0.52,0.76,1.99,0.9,2.21,0.24,0.02,0.74,0.4,0.04,0.11,0.83,2017
"222","Turkey","TR",NA,544.8,3.14,78.45,0.19,57.36,NA,NA,NA,NA,6,3.07,0.71,2.23,2.82,1.23,1.18,0.13,0.04,1.01,1.17,NA,NA,1.42,2017
"223","UnitedKingdom","UK",184.75,146.44,0.95,23.84,0.03,9.03,4.97,0.23,0.24,14.87,0.63,0.09,0.3,0.24,0.89,0.52,0.4,0.04,0.01,0.43,0.12,0.03,0.06,0.31,2017
"224","Norway","NO",197.96,172.34,0.6,14.89,0.03,7.76,2.43,0.42,0.11,9.1,1.21,0.34,0.7,0.18,1.7,1.22,0.74,0.08,0.01,1,0.09,0.09,0.12,0.39,2017
"225","Italy","IT",215.72,168.27,1.07,26.68,0.03,10.16,9.48,0.84,0.28,11.84,1.02,0.23,0.34,0.44,0.99,0.59,0.28,0.03,0.01,0.48,0.23,0.05,0.06,0.36,2017
"226","Lithuania","LT",523.63,348.21,3.22,80.59,0.26,78.63,15.99,0,0.2,96.68,3.43,0.35,1.29,1.79,3.42,2.26,0.75,0.08,0.05,1.85,0.94,0.07,0.23,1.04,2017
"227","Luxembourg","LU",158.14,140.58,0.44,11.02,0.02,5.76,0.59,0,0.19,7.47,0.58,0.04,0.34,0.19,0.8,0.6,0.36,0.04,0.01,0.49,0.1,0.02,0.03,0.16,2017
"228","Latvia","LV",432.61,295.55,2.76,68.93,0.2,58.94,8.75,0,0.44,182.66,2.5,0.11,1.09,1.3,3.22,1.9,1.33,0.15,0.04,1.56,0.68,0.32,0.66,1.14,2017
"229","Malta","MT",203.06,160.35,0.69,17.2,0.01,4.27,21.14,0,0.09,0.88,0.63,0.07,0.33,0.23,0.79,0.57,0.47,0.05,0.01,0.47,0.12,0.03,0.06,0.15,2017
"230","Netherlands","NL",269.12,228.04,1.06,26.5,0.04,12.5,1.81,0.08,0.19,17.41,0.82,0.06,0.42,0.34,1.06,0.73,0.4,0.04,0.01,0.6,0.18,0.02,0.04,0.28,2017
"231","Poland","PL",914.28,734.94,4.41,110.35,0.19,55.85,12.9,0.03,0.2,50.74,3.76,1.01,1.32,1.43,3.88,2.3,1.91,0.21,0.06,1.89,0.75,0.19,0.35,1.3,2017
"232","France","FR",160.63,111.2,1.01,25.26,0.06,17.98,5.65,0.32,0.21,15.17,0.84,0.08,0.23,0.53,0.82,0.41,0.58,0.06,0.01,0.33,0.28,0.02,0.06,0.33,2018
"233","Croatia","HR",413.43,293.95,3.02,75.43,0.12,36.3,7.62,0,0.13,26.21,2.46,0.22,0.68,1.55,2.27,1.19,1.04,0.11,0.04,0.98,0.82,0.14,0.39,0.92,2018
"234","Hungary","HU",472.01,346.55,2.73,68.2,0.14,41.03,15.38,0.02,0.84,39.67,2.1,0.14,0.74,1.22,1.99,1.29,0.66,0.07,0.04,1.06,0.64,0.07,0.24,0.59,2018
"235","Austria","AT",165.87,133.1,0.71,17.72,0.03,9.11,4.75,0.09,1.09,46.78,0.57,0.03,0.19,0.35,0.59,0.33,0.59,0.06,0.01,0.27,0.18,0.02,0.05,0.19,2018
"236","Belgium","BE",230.6,189.53,0.69,17.26,0.05,13.6,9.66,0.32,0.23,23.06,0.62,0.08,0.24,0.31,0.68,0.41,0.56,0.06,0.01,0.34,0.16,0.02,0.04,0.2,2018
"237","Bulgaria","BG",1124.91,873.44,4.94,123.55,0.33,98.12,29.42,0,0.37,82.54,3.7,1.72,1.13,0.85,3.13,1.97,2.01,0.22,0.07,1.62,0.44,0.13,0.4,0.86,2018
"238","Switzerland","CH",57.73,42.88,0.32,7.89,0.02,4.63,2.01,0.06,0.26,9.47,0.26,0.01,0.08,0.17,0.26,0.15,0.11,0.01,0,0.12,0.09,0.01,0.02,0.09,2018
"239","Cyprus","CY",385.62,317,1.85,46.14,0.04,12.4,9.22,0,0.87,10.82,2.19,0.92,0.42,0.86,1.13,0.73,0.3,0.03,0.03,0.59,0.45,0.04,0.09,0.35,2018
"240","Czechia","CZ",556.94,449.2,2.48,62.07,0.1,29.56,15.73,0.01,0.37,30.83,1.69,0.4,0.55,0.74,1.75,0.96,1.22,0.13,0.03,0.79,0.39,0.05,0.1,0.61,2018
"241","Germany","DE",241.73,209.78,0.66,16.43,0.04,11.67,2.48,0.1,1.28,24.05,0.87,0.1,0.39,0.37,1.05,0.68,0.54,0.06,0.01,0.56,0.2,0.04,0.07,0.3,2018
"242","Denmark","DK",313.96,263.31,1.1,27.62,0.07,21.17,1.59,0,0.28,52.34,5.87,2.37,2.97,0.54,5.7,5.17,0.64,0.07,0.02,4.24,0.28,0.19,0.23,0.44,2018
"243","Estonia","EE",868.38,776.05,1.76,44.07,0.13,39.51,8.64,0,0.11,114.74,3.43,1.54,1.02,0.87,2.63,1.78,2.31,0.25,0.02,1.46,0.46,0.22,0.42,0.58,2018
"244","Greece","EL",598.24,471.8,2.56,64.01,0.09,27.79,33.75,0.87,0.03,10.53,5.33,2.06,2.53,0.74,5.24,4.4,1.69,0.19,0.04,3.61,0.39,0.26,0.41,0.61,2018
"245","Ireland","IE",213.8,139.37,1.95,48.86,0.08,23.42,1.84,0.16,0.14,7.36,1.06,0.02,0.2,0.84,0.68,0.35,0.09,0.01,0.03,0.29,0.44,0.01,0.06,0.3,2018
"246","Spain","ES",252.64,197.56,1.38,34.58,0.05,15.79,4.38,0.12,0.21,14.45,1.43,0.19,0.42,0.82,1.33,0.74,1.02,0.11,0.02,0.61,0.43,0.07,0.13,0.46,2018
"247","Finland","FI",266.52,216.62,0.86,21.54,0.08,23.13,5.12,0.01,0.1,178.76,0.95,0.16,0.5,0.28,1.18,0.87,0.54,0.06,0.01,0.72,0.15,0.04,0.09,0.24,2018
"248","Iceland","IS",348.67,286.08,1.23,30.79,0.05,15.88,11.91,3.85,0.16,1.37,4.55,2.64,1.42,0.5,3.4,2.47,5.65,0.62,0.02,2.02,0.26,0.08,0.12,0.3,2018
"249","Portugal","PT",336,259.07,2.01,50.22,0.06,17.26,9.21,0.11,0.13,35.22,1.48,0.27,0.6,0.61,1.79,1.05,0.73,0.08,0.03,0.86,0.32,0.17,0.28,0.63,2018
"250","Romania","RO",547.95,356.68,4.79,119.73,0.21,63.83,7.34,0.03,0.34,15.73,2.94,0.44,0.72,1.77,2.19,1.26,1.67,0.18,0.07,1.03,0.93,0.1,0.28,0.68,2018
"251","Serbia","RS",NA,0,0,0,0,0,0,NA,0,0,13.14,9.49,2.12,1.52,5.93,3.7,3.67,0.4,0,3.03,0.8,0.38,0.74,1.83,2018
"252","Sweden","SE",114.48,91.19,0.41,10.24,0.04,10.89,1.93,0.15,0.08,106.46,0.59,0.08,0.28,0.24,0.75,0.48,0.39,0.04,0.01,0.39,0.12,0.03,0.06,0.22,2018
"253","Slovenia","SI",384.97,315.49,1.81,45.34,0.06,18.05,5.3,0.39,0.4,22.08,1.46,0.12,0.53,0.81,1.74,0.92,2.46,0.27,0.03,0.75,0.43,0.07,0.13,0.53,2018
"254","Slovakia","SK",450.37,377.82,1.58,39.48,0.08,25.01,7.85,0.1,0.12,68.65,1.44,0.24,0.48,0.72,1.86,0.84,1.94,0.21,0.02,0.69,0.38,0.04,0.1,0.79,2018
"255","Turkey","TR",NA,618.25,3.83,95.72,0.22,65.84,NA,NA,NA,NA,7.05,3.87,0.84,2.33,3.34,1.47,1.3,0.14,0.05,1.2,1.23,NA,NA,1.68,2018
"256","UnitedKingdom","UK",177.04,140.24,0.93,23.19,0.03,8.77,4.46,0.12,0.25,16.46,0.61,0.09,0.29,0.23,0.88,0.51,0.39,0.04,0.01,0.42,0.12,0.03,0.05,0.31,2018
"257","Norway","NO",197.73,173.63,0.56,13.95,0.02,7.36,2.25,0.45,0.1,8.86,1.29,0.4,0.71,0.17,1.7,1.24,0.71,0.08,0.01,1.02,0.09,0.1,0.12,0.37,2018
"258","Italy","IT",207.49,161.06,1.04,25.91,0.03,9.82,9.36,1.04,0.29,11.74,0.93,0.2,0.31,0.42,0.93,0.54,0.27,0.03,0.01,0.44,0.22,0.04,0.06,0.35,2018
"259","Lithuania","LT",501.51,350.55,2.8,69.91,0.23,69.61,11.29,0,0.16,88.94,3.31,0.32,1.35,1.63,3.43,2.36,0.75,0.08,0.04,1.93,0.86,0.07,0.22,0.95,2018
"260","Luxembourg","LU",155.49,138.68,0.42,10.57,0.02,5.52,0.54,0,0.19,8.39,0.56,0.04,0.33,0.19,0.78,0.58,0.31,0.03,0.01,0.48,0.1,0.02,0.03,0.16,2018
"261","Latvia","LV",421.84,300.07,2.43,60.81,0.18,52.76,7.79,0,0.42,180.03,2.32,0.12,1.01,1.19,2.99,1.77,1.3,0.14,0.03,1.45,0.63,0.3,0.63,1.05,2018
"262","Malta","MT",193.87,154.01,0.66,16.6,0.01,4.11,19.12,0,0.03,1.05,0.52,0.01,0.29,0.22,0.68,0.5,0.33,0.04,0.01,0.41,0.12,0.02,0.07,0.13,2018
"263","Netherlands","NL",250.33,212.63,0.96,23.9,0.04,11.63,1.89,0.1,0.18,17.33,0.77,0.05,0.39,0.32,1,0.69,0.4,0.04,0.01,0.56,0.17,0.02,0.03,0.25,2018
"264","Poland","PL",859.52,695.37,4.12,102.92,0.18,53.04,7.92,0.02,0.25,51.66,3.51,0.89,1.21,1.4,3.55,2.11,1.79,0.2,0.06,1.73,0.74,0.18,0.33,1.19,2018
"265","France","FR",152.59,105.67,0.97,24.28,0.06,17.22,4.95,0.28,0.18,14.37,0.77,0.06,0.21,0.5,0.76,0.37,0.55,0.06,0.01,0.31,0.26,0.02,0.06,0.31,2019
"266","Croatia","HR",394.5,282.01,2.82,70.6,0.12,34.46,7.31,0,0.12,30.66,2.23,0.17,0.66,1.39,2.2,1.15,0.86,0.09,0.04,0.95,0.73,0.14,0.38,0.91,2019
"267","Hungary","HU",427.05,310.12,2.52,62.96,0.13,38.18,14.95,0.02,0.81,36.73,1.89,0.1,0.64,1.15,1.75,1.11,0.56,0.06,0.04,0.91,0.61,0.06,0.23,0.54,2019
"268","Austria","AT",169.37,138.04,0.67,16.8,0.03,8.87,4.36,0.11,1.2,44.53,0.57,0.03,0.2,0.34,0.61,0.35,0.62,0.07,0.01,0.29,0.18,0.02,0.05,0.18,2019
"269","Belgium","BE",220.83,183.04,0.66,16.41,0.04,12.84,8.03,0.3,0.21,21.39,0.57,0.07,0.22,0.29,0.65,0.38,0.63,0.07,0.01,0.31,0.15,0.02,0.03,0.19,2019
"270","Bulgaria","BG",1005.8,773.21,4.42,110.59,0.34,99.89,21.77,0,0.34,88.49,3.03,1.31,0.99,0.73,2.84,1.72,1.88,0.21,0.06,1.41,0.39,0.12,0.32,0.85,2019
"271","Switzerland","CH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"272","Cyprus","CY",346.56,281.44,1.74,43.62,0.04,11.77,8.98,0,0.74,9.44,1.81,0.8,0.38,0.63,1.04,0.67,0.28,0.03,0.02,0.55,0.33,0.04,0.09,0.32,2019
"273","Czechia","CZ",490.87,393.29,2.26,56.53,0.09,26.23,14.48,0.01,0.33,28.48,1.46,0.31,0.49,0.67,1.57,0.85,1.1,0.12,0.03,0.7,0.35,0.04,0.09,0.57,2019
"274","Germany","DE",216.65,186.75,0.61,15.27,0.04,11.07,2.23,0.07,1.26,23.34,0.79,0.09,0.35,0.35,0.96,0.61,0.51,0.06,0.01,0.5,0.18,0.04,0.07,0.29,2019
"275","Denmark","DK",277.37,228.66,1.05,26.32,0.07,21.09,1.04,0,0.26,52.18,5.33,2.13,2.68,0.52,5.18,4.67,0.59,0.06,0.01,3.83,0.27,0.17,0.21,0.43,2019
"276","Estonia","EE",577.71,488.96,1.65,41.27,0.13,39.48,7.89,0,0.11,133.89,2.44,0.88,0.73,0.83,2.06,1.27,2.26,0.25,0.02,1.04,0.44,0.17,0.3,0.52,2019
"277","Greece","EL",550.3,429.89,2.47,61.72,0.09,27.62,30.18,0.86,0.03,10.67,5.15,2.05,2.37,0.73,4.95,4.12,1.71,0.19,0.03,3.38,0.38,0.25,0.39,0.61,2019
"278","Ireland","IE",189.98,124.3,1.74,43.5,0.07,20.2,1.68,0.19,0.1,6.75,0.89,0.01,0.17,0.71,0.6,0.29,0.07,0.01,0.02,0.24,0.37,0.01,0.06,0.27,2019
"279","Spain","ES",228.17,175.4,1.33,33.3,0.05,15.27,3.95,0.04,0.2,14.47,1.31,0.14,0.39,0.78,1.25,0.68,0.96,0.11,0.02,0.56,0.41,0.07,0.12,0.44,2019
"280","Finland","FI",246.28,197.6,0.83,20.68,0.08,23.12,4.79,0.01,0.09,177.17,0.91,0.14,0.49,0.27,1.16,0.86,0.54,0.06,0.01,0.71,0.14,0.03,0.09,0.23,2019
"281","Iceland","IS",313.9,249.48,1.14,28.61,0.05,15.1,15.76,4.85,0.1,1.3,4.7,2.81,1.41,0.49,3.42,2.45,5.45,0.6,0.02,2.01,0.26,0.08,0.13,0.36,2019
"282","Portugal","PT",301.86,227.6,1.93,48.24,0.06,16.65,9.13,0.11,0.13,34.38,1.39,0.25,0.56,0.58,1.72,0.97,0.76,0.08,0.03,0.8,0.3,0.17,0.28,0.64,2019
"283","Romania","RO",479.9,307.61,4.35,108.68,0.19,56.49,6.72,0.02,0.38,15.54,2.72,0.48,0.66,1.59,1.99,1.14,1.54,0.17,0.06,0.94,0.84,0.1,0.29,0.62,2019
"284","Serbia","RS",NA,0,0,0,0,0,0,NA,0,0,13.43,10.13,2.14,1.16,5.81,3.73,3.39,0.37,0,3.05,0.61,0.34,0.69,1.71,2019
"285","Sweden","SE",109.68,86.87,0.39,9.79,0.04,10.98,1.84,0.12,0.08,109.54,0.54,0.07,0.24,0.23,0.68,0.42,0.37,0.04,0.01,0.34,0.12,0.03,0.06,0.22,2019
"286","Slovenia","SI",358.29,291.57,1.71,42.75,0.06,18.88,4.44,0.28,0.37,26.36,1.32,0.11,0.46,0.75,1.52,0.8,1.97,0.22,0.02,0.65,0.4,0.07,0.12,0.48,2019
"287","Slovakia","SK",401.34,331.76,1.5,37.38,0.08,24.41,7.63,0.06,0.11,64.57,1.25,0.17,0.41,0.67,1.58,0.71,1.33,0.15,0.02,0.58,0.35,0.03,0.09,0.7,2019
"288","Turkey","TR",NA,557.16,3.83,95.71,0.22,65.1,NA,NA,NA,NA,6.83,3.67,0.79,2.37,3.2,1.38,1.13,0.12,0.05,1.13,1.25,NA,NA,1.64,2019
"289","UnitedKingdom","UK",163.67,129.24,0.86,21.53,0.03,8.31,4.25,0.12,0.23,16.44,0.56,0.08,0.27,0.22,0.82,0.47,0.38,0.04,0.01,0.38,0.11,0.02,0.05,0.3,2019
"290","Norway","NO",198.39,174.42,0.54,13.57,0.03,7.62,2.14,0.54,0.1,9.71,1.24,0.39,0.69,0.16,1.66,1.2,0.73,0.08,0.01,0.98,0.09,0.1,0.12,0.37,2019
"291","Italy","IT",200.61,155.36,1.01,25.28,0.03,9.57,9.48,0.64,0.29,11.85,0.95,0.22,0.32,0.41,0.95,0.56,0.29,0.03,0.01,0.46,0.22,0.04,0.06,0.34,2019
"292","Lithuania","LT",475.76,334.8,2.56,64.07,0.22,66.14,10.64,0,0.12,82.42,2.99,0.27,1.25,1.47,3.17,2.17,0.69,0.08,0.04,1.78,0.77,0.06,0.2,0.88,2019
"293","Luxembourg","LU",160.54,144.31,0.4,10.09,0.02,5.46,0.5,0,0.18,10.47,0.58,0.04,0.36,0.18,0.83,0.63,0.36,0.04,0.01,0.52,0.09,0.02,0.03,0.16,2019
"294","Latvia","LV",407.19,287.96,2.34,58.39,0.18,53.38,6.94,0,0.52,173.97,2.21,0.11,0.95,1.15,2.83,1.65,1.29,0.14,0.03,1.36,0.61,0.29,0.64,1,2019
"295","Malta","MT",185.88,149.13,0.63,15.71,0.01,3.85,17.17,0,0.02,1.97,0.47,0.01,0.27,0.2,0.62,0.46,0.29,0.03,0.01,0.38,0.1,0.02,0.07,0.12,2019
"296","Netherlands","NL",233.21,196.91,0.93,23.22,0.04,10.96,1.88,0.1,0.15,19.12,0.69,0.05,0.36,0.29,0.92,0.63,0.39,0.04,0.01,0.51,0.15,0.02,0.03,0.24,2019
"297","Poland","PL",764.88,619.21,3.65,91.26,0.16,46.92,7.27,0.02,0.19,52.74,3.05,0.72,1.08,1.25,3.19,1.89,1.59,0.18,0.05,1.55,0.66,0.16,0.3,1.08,2019
"298","France","FR",146.37,97.27,1.02,25.54,0.06,18.06,5.07,0.23,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"299","Croatia","HR",416.36,297.08,3.01,75.37,0.12,35.76,8.02,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,2020
"300","Hungary","HU",444.13,318.19,2.68,66.91,0.14,41.74,16.33,0.03,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,2020
"301","Austria","AT",157.3,125.08,0.69,17.31,0.03,9.21,4.4,0.09,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"302","Belgium","BE",214.28,176.16,0.68,17.09,0.04,13.2,7.19,0.42,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"303","Bulgaria","BG",923.49,691.03,4.42,110.56,0.33,99.81,21.76,0,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,2020
"304","Switzerland","CH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"305","Cyprus","CY",361.06,292.55,1.8,45.04,0.04,13.14,9.54,0,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,2020
"306","Czechia","CZ",495.64,391.05,2.24,55.89,0.09,27.89,20.47,0.01,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,2020
"307","Germany","DE",200.18,170.17,0.61,15.33,0.04,11.02,2.29,0.08,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"308","Denmark","DK",270.35,221.69,1.06,26.41,0.07,20.96,1.03,0,0.26,53.6,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"309","Estonia","EE",459.52,369.65,1.68,41.99,0.13,39.9,7.86,0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,2020
"310","Greece","EL",514.92,382.79,2.63,65.79,0.1,29.45,35.76,1.09,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,2020
"311","Ireland","IE",148.82,85.23,1.69,42.28,0.07,19.53,1.51,0.18,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,2020
"312","Spain","ES",212.1,154.82,1.47,36.84,0.06,16.65,3.55,0.03,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,2020
"313","Finland","FI",220.17,171.46,0.83,20.65,0.08,23.18,4.78,0.01,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"314","Iceland","IS",277.44,207.3,1.19,29.72,0.06,16.55,18.23,5.54,0.12,1.29,4.3,2.64,1.11,0.56,2.93,1.93,6.3,0.69,0.02,1.58,0.29,0.07,0.1,0.29,2020
"315","Portugal","PT",297.81,218.51,2.06,51.47,0.06,17.85,9.72,0.12,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,2020
"316","Romania","RO",467.69,290.48,4.49,112.18,0.19,57.78,6.82,0.02,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,2020
"317","Serbia","RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"318","Sweden","SE",97.89,75.43,0.39,9.63,0.04,10.75,1.85,0.16,0.08,104.76,0.51,0.06,0.22,0.23,0.63,0.38,0.33,0.04,0.01,0.31,0.12,0.03,0.05,0.22,2020
"319","Slovenia","SI",354.29,287.48,1.73,43.26,0.06,18.38,4.55,0.23,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,2020
"320","Slovakia","SK",381.11,312.54,1.51,37.7,0.08,23.08,7.62,0.07,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,2020
"321","Turkey","TR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"322","UnitedKingdom","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"323","Norway","NO",224.81,197.53,0.61,15.37,0.03,8.76,2.45,0.58,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"324","Italy","IT",197.54,149.24,1.06,26.4,0.03,10.28,10.28,1.1,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"325","Lithuania","LT",464.21,326.4,2.44,61.02,0.23,67.5,9.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,2020
"326","Luxembourg","LU",143.39,127.49,0.39,9.86,0.02,5.37,0.49,0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"327","Latvia","LV",386.04,263.03,2.37,59.27,0.19,56.1,7.18,0,0.45,172.8,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,2020
"328","Malta","MT",156.92,119.53,0.64,15.98,0.01,2.51,18.88,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,2020
"329","Netherlands","NL",212.34,176.36,0.93,23.19,0.04,10.87,1.66,0.1,0.16,23.42,0.65,0.04,0.32,0.3,0.84,0.56,0.35,0.04,0.01,0.46,0.16,NA,0.03,0.23,2020
"330","Poland","PL",744.41,596.04,3.69,92.31,0.16,47.92,7.91,0.02,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,2020
